Name:             Description:
atjsa1            "Atari JSA I Sound Board"
atjsa2            "Atari JSA II Sound Board"
atjsa3            "Atari JSA III Sound Board"
atjsa3s           "Atari JSA IIIs Sound Board"
atlantis          "Battle of Atlantis (set 1)"
atlantis2         "Battle of Atlantis (set 2)"
atlantisb         "Battle of Atlantis (bootleg)"
atlantol          "Atlant Olimpic"
atluspsx          "Atlus PSX"
atomboy           "Atomic Boy (revision B)"
atomboya          "Atomic Boy (revision A)"
atomicp           "Atomic Point (Korea)"
atompunk          "Atomic Punk (US)"
atpsx             "Atari PSX"
attckufo          "Attack UFO"
atworld           "Around The World (Version 1.4R CGA)"
atworldd1         "Around The World (Version 1.3R CGA)"
atworlde1         "Around The World (Version 1.3E CGA)"
aurail            "Aurail (set 3, US) (unprotected)"
aurail1           "Aurail (set 2, World) (FD1089B 317-0168)"
aurail1d          "Aurail (set 2, World) (bootleg of FD1089B 317-0168 set)"
aurailj           "Aurail (set 1, Japan) (FD1089A 317-0167)"
aurailjd          "Aurail (set 1, Japan) (bootleg of FD1089A 317-0167 set)"
autmoon           "Autumn Moon (1VXFC5488, New Zealand)"
avalnche          "Avalanche"
avefenix          "Ave Fenix (Electrogame, Spanish bootleg of Phoenix)"
avefenixl         "Ave Fenix (Laguna, Spanish bootleg of Phoenix)"
avefenixrf        "Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix)"
avengers          "Avengers (US set 1)"
avengers2         "Avengers (US set 2)"
avengrgs          "Avengers In Galactic Storm (US/Europe 1.0)"
avengrgsj         "Avengers In Galactic Storm (Japan 1.2)"
avg               "Atari AVG"
avg_bzone         "Atari AVG (Battle Zone)"
avg_mhavoc        "Atari AVG (Major Havoc)"
avg_quantum       "Atari AVG (Quantum)"
avg_starwars      "Atari AVG (Star Wars)"
avg_tempest       "Atari AVG (Tempest)"
avg_tomcat        "Atari AVG (TomCat)"
avsp              "Alien vs. Predator (Euro 940520)"
avspa             "Alien vs. Predator (Asia 940520)"
avspd             "Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)"
avsph             "Alien vs. Predator (Hispanic 940520)"
avspirit          "Avenging Spirit"
avspj             "Alien vs. Predator (Japan 940520)"
avspu             "Alien vs. Predator (USA 940520)"
aw_rom_board      "Sammy Atomiswave ROM Board"
ay8910            "AY-3-8910A PSG"
ay8912            "AY-3-8912A PSG"
ay8913            "AY-3-8913 PSG"
ay8930            "AY8930 EPSG"
aztarac           "Aztarac"
azurian           "Azurian Attack"
b2b               "Bang Bang Busters (2010 NCI release)"
b3rinsya          "Burning Sanrinsya - Burning Tricycle"
babydad           "Baby Dado"
babypkr           "Baby Poker"
backfire          "Backfire! (Japan, set 1)"
backfirea         "Backfire! (Japan, set 2)"
backfirt          "Back Fire (Tecmo, bootleg)"
baddudes          "Bad Dudes vs. Dragonninja (US)"
badlands          "Bad Lands"
bagman            "Bagman"
bagmanm2          "Bagman (bootleg on Moon Cresta hardware, set 2)"
bagmanmc          "Bagman (bootleg on Moon Cresta hardware, set 1)"
bagmans           "Bagman (Stern Electronics, set 1)"
bagmans2          "Bagman (Stern Electronics, set 2)"
bagnard           "Le Bagnard (set 1)"
bagnarda          "Le Bagnard (set 2)"
bagnardi          "Le Bagnard (Itisa, Spain)"
bakatono          "Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)"
bakubaku          "Baku Baku Animal (J 950407 V1.000)"
bakubrkr          "Bakuretsu Breaker (Japan)"
bakuhatu          "Mahjong Bakuhatsu Junjouden (Japan)"
bakutotu          "Bakutotsu Kijuutei"
balcube           "Bal Cube"
ballbomb          "Balloon Bomber"
ballboy           "Ball Boy"
ballbros          "Balloon Brothers"
balonfgt          "Vs. Balloon Fight (set BF4 A-3)"
baluba            "Baluba-louk no Densetsu (Japan)"
bananadr          "Mahjong Banana Dream [BET] (Japan 891124)"
bandido           "Bandido"
bang              "Bang!"
bangball          "Bang Bang Ball (v1.05)"
bangbead          "Bang Bead"
bangj             "Gun Gabacho (Japan)"
bankp             "Bank Panic"
baraduke          "Baraduke"
barata            "Dona Barata (early prototype)"
barline           "Barline (Japan?)"
barricad          "Barricade"
barrier           "Barrier"
baryon            "Baryon - Future Assault (set 1)"
baryona           "Baryon - Future Assault (set 2)"
basebal2          "Baseball: The Season II"
basic_joy         "PC basic joystick"
bassang2          "Bass Angler 2 (GE865 VER. JAA)"
bassangl          "Bass Angler (GE765 VER. JAA)"
batcir            "Battle Circuit (Euro 970319)"
batcira           "Battle Circuit (Asia 970319)"
batcird           "Battle Circuit (Euro 970319 Phoenix Edition) (bootleg)"
batcirj           "Battle Circuit (Japan 970319)"
batlball          "Battle Balls (Germany, newer)"
batlballa         "Battle Balls (Hong Kong)"
batlballe         "Battle Balls (Hong Kong, earlier)"
batlballu         "Battle Balls (US)"
batlbubl          "Battle Bubble (v2.00)"
batlzone          "Battle Zone (bootleg of Mayday)"
batman            "Batman"
batman2           "Batman Part 2"
batmanfr          "Batman Forever (JUE 960507 V1.000)"
batrider          "Armed Police Batrider (Europe) (Fri Feb 13 1998)"
batriderc         "Armed Police Batrider (China) (Fri Feb 13 1998)"
batriderhk        "Armed Police Batrider (Hong Kong) (Mon Dec 22 1997)"
batriderj         "Armed Police Batrider (Japan, B version) (Fri Feb 13 1998)"
batriderja        "Armed Police Batrider (Japan, older version) (Mon Dec 22 1997)"
batriderk         "Armed Police Batrider (Korea) (Fri Feb 13 1998)"
batridert         "Armed Police Batrider (Taiwan) (Mon Dec 22 1997)"
batrideru         "Armed Police Batrider (USA) (Fri Feb 13 1998)"
batsugun          "Batsugun"
batsuguna         "Batsugun (older set)"
batsugunb         "Batsugun (Korean PCB)"
batsugunsp        "Batsugun - Special Version"
battlane          "Battle Lane! Vol. 5 (set 1)"
battlane2         "Battle Lane! Vol. 5 (set 2)"
battlane3         "Battle Lane! Vol. 5 (set 3)"
battlcry          "Battlecry (Version E)"
battlera          "Battle Rangers (World)"
battles           "Battles (set 1)"
battlex           "Battle Cross"
battlnts          "Battlantis (program code G)"
battlntsa         "Battlantis (program code F)"
battlntsj         "Battlantis (Japan, program code E)"
battroad          "The Battle-Road"
bayroute          "Bay Route (set 3, World) (FD1094 317-0116)"
bayroute1         "Bay Route (set 1, US) (unprotected)"
bayrouted         "Bay Route (set 3, World) (bootleg of FD1094 317-0116 set)"
bayroutej         "Bay Route (set 2, Japan) (FD1094 317-0115)"
bayroutejd        "Bay Route (set 2, Japan) (bootleg of FD1094 317-0115 set)"
bbakraid          "Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999)"
bbakraidc         "Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999)"
bbakraidj         "Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)"
bbakraidja        "Battle Bakraid (Japan) (Wed Apr 7 1999)"
bballoon          "BnB Arcade"
bballs            "Bouncing Balls"
bballsa           "Bouncing Balls (Adult)"
bbbxing           "Best Bout Boxing (ver 1.3)"
bbh2sp            "Big Buck Hunter II - Sportsman's Paradise (v2.02.11)"
bbhcotw           "Big Buck Hunter Call of the Wild (v3.02.5)"
bbhsc             "Big Buck Hunter - Shooter's Challenge (v1.60.01)"
bbmanw            "Bomber Man World / New Dyna Blaster - Global Quest"
bbmanwj           "Bomber Man World (Japan)"
bbmanwja          "Bomber Man World (Japan, revised sound hardware)"
bbonk             "Bigfoot Bonkers"
bbredux           "Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB)"
bbros             "Buster Bros. (USA)"
bbusters          "Beast Busters (World)"
bbustersj         "Beast Busters (Japan, Version 2, 3 Player)"
bbustersu         "Beast Busters (US, Version 3)"
bbustersua        "Beast Busters (US, Version 2)"
bchance           "Bonne Chance! (French/English)"
bchopper          "Battle Chopper"
bcrusher          "Bone Crusher"
bcruzm12          "Battle Cruiser M-12"
bcstry            "B.C. Story (set 1)"
bcstrya           "B.C. Story (set 2)"
beastf            "Beastie Feastie"
beastrzr          "Beastorizer (USA)"
beathead          "BeatHead (prototype)"
beep              "Beep"
beezer            "Beezer (set 1)"
beezer_sound      "beezer SFX"
beezer1           "Beezer (set 2)"
benberob          "Ben Bero Beh (Japan)"
berabohm          "Beraboh Man (Japan, Rev C)"
berabohmb         "Beraboh Man (Japan, Rev B)"
berlwall          "The Berlin Wall"
berlwallk         "The Berlin Wall (Korea)"
berlwallt         "The Berlin Wall (bootleg?)"
bermudat          "Bermuda Triangle (World?)"
bermudata         "Bermuda Triangle (World Wars) (US)"
bermudatj         "Bermuda Triangle (Japan)"
berzerk           "Berzerk (set 1)"
berzerk1          "Berzerk (set 2)"
berzerkf          "Berzerk (French Speech)"
berzerkg          "Berzerk (German Speech)"
berzerks          "Berzerk (Spanish Speech)"
bestbest          "Best Of Best"
bestleag          "Best League (bootleg of Big Striker, Italian Serie A)"
bestleaw          "Best League (bootleg of Big Striker, World Cup)"
bestri            "Bestri (Korea, set 1)"
bestria           "Bestri (Korea, set 2)"
bfm_adder2        "BFM ADDER2"
bfm_bd1           "BFM BD1 VFD controller"
bfm_bda           "BFM BDA VFD controller"
bfm_dm01          "BFM Dotmatrix 01"
bgaregga          "Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)"
bgareggabl        "1945 Part-2 (Chinese hack of Battle Garegga)"
bgareggabla       "Lei Shen Zhuan Thunder Deity Biography (Chinese hack of Battle Garegga)"
bgareggacn        "Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)"
bgareggahk        "Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)"
bgaregganv        "Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)"
bgareggat2        "Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)"
bgareggatw        "Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)"
big10             "Big 10"
bigappg           "The Big Apple (2131-13, U5-0)"
bigbang           "Big Bang (9th Nov. 1993)"
bigbucks          "Big Bucks"
bigdeal           "Big Deal (Hungarian, set 1)"
bigdealb          "Big Deal (Hungarian, set 2)"
bigevglf          "Big Event Golf (US)"
bigevglfj         "Big Event Golf (Japan)"
bigfghtr          "Tatakae! Big Fighter (Japan)"
bigfight          "Big Fight - Big Trouble In The Atlantic Ocean"
bigkarnk          "Big Karnak"
bigkong           "Big Kong"
bigprowr          "The Big Pro Wrestling!"
bigrun            "Big Run (11th Rallye version)"
bigstrik          "Big Striker"
bigstrkb          "Big Striker (bootleg)"
bigstrkba         "Big Striker (bootleg w/Italian teams)"
bigtwin           "Big Twin"
bigtwinb          "Big Twin (No Girls Conversion)"
bijokkog          "Bijokko Gakuen (Japan 880116)"
bijokkoy          "Bijokko Yume Monogatari (Japan 870925)"
bikkuric          "Bikkuri Card (Japan)"
billiard          "The Billiards (Video Hustler bootleg)"
billlist          "Billard List"
bilyard           "Billiard"
bingo             "Bingo"
bingowng          "Bingo (set 1)"
bingownga         "Bingo (set 2)"
bioatack          "Bio Attack"
biofreak          "BioFreaks (prototype)"
biomtoy           "Biomechanical Toy (Ver. 1.0.1885)"
biomtoya          "Biomechanical Toy (Ver. 1.0.1884)"
bionicc           "Bionic Commando (Euro)"
bionicc1          "Bionic Commando (US set 1)"
bionicc2          "Bionic Commando (US set 2)"
bioniccbl         "Bionic Commandos (bootleg, set 1)"
bioship           "Bio-ship Paladin"
birdiy            "Birdiy"
bishi             "Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players)"
bjourney          "Blue's Journey / Raguy (ALM-001 ~ ALH-001)"
bjtwin            "Bombjack Twin (set 1)"
bjtwina           "Bombjack Twin (set 2)"
bjtwinp           "Bombjack Twin (prototype? with adult pictures, set 1)"
bking             "Birdie King"
bking2            "Birdie King 2"
bking3            "Birdie King 3"
bkrtmaq           "Bakuretsu Quiz Ma-Q Dai Bouken (Japan)"
black             "Czernyj Korabl (Arcade bootleg of ZX Spectrum 'Blackbeard')"
blackt96          "Black Touch '96"
bladestl          "Blades of Steel (version T, Joystick)"
bladestle         "Blades of Steel (version E, Trackball)"
bladestll         "Blades of Steel (version L, Trackball)"
blandia           "Blandia"
blandiap          "Blandia (prototype)"
blasted           "Blasted"
blaster           "Blaster"
blasterkit        "Blaster (conversion kit)"
blastero          "Blaster (location test)"
blasto            "Blasto"
blastoff          "Blast Off (Japan)"
blazeon           "Blaze On (Japan)"
blazer            "Blazer (Japan)"
blazlaz           "Blazing Lazers (United Amusements PC Engine)"
blazstar          "Blazing Star"
blckjack          "Black Jack"
bldwolf           "Bloody Wolf (US)"
bldwolfj          "Narazumono Sentoubutai Bloody Wolf (Japan)"
bldyroar          "Bloody Roar (Japan)"
bldyror2          "Bloody Roar 2 (World)"
bldyror2a         "Bloody Roar 2 (Asia)"
bldyror2j         "Bloody Roar 2 (Japan)"
bldyror2u         "Bloody Roar 2 (USA)"
blitz             "NFL Blitz (boot ROM 1.2)"
blitz11           "NFL Blitz (boot ROM 1.1)"
blitz2k           "NFL Blitz 2000 Gold Edition (ver 1.2, Sep 22 1999)"
blitz99           "NFL Blitz '99 (ver 1.30, Sep 22 1998)"
blitz99a          "NFL Blitz '99 (ver 1.2, Aug 28 1998)"
blkbustr          "BlockBuster"
blkdrgon          "Black Dragon (Japan)"
blkdrgonb         "Black Dragon (bootleg)"
blkheart          "Black Heart"
blkheartj         "Black Heart (Japan)"
blkhole           "Black Hole"
blkpnthr          "Black Panther"
blkrhino          "Black Rhino (3VXFC5344, New Zealand)"
blktiger          "Black Tiger"
blktigera         "Black Tiger (older)"
blktigerb1        "Black Tiger (bootleg set 1)"
blktigerb2        "Black Tiger (bootleg set 2)"
blktigerb3        "Black Tiger / Black Dragon (mixed bootleg?)"
blktouch          "Black Touch (Korea)"
blmbycar          "Blomby Car (Version 1P0)"
blmbycaru         "Blomby Car (Version 1P0, not encrypted)"
block             "Block Block (World 911219 Joystick)"
block2            "Block 2 (S.P.A. Co. bootleg)"
blockade          "Blockade"
blockbl           "Block Block (bootleg)"
blockcar          "Block Carnival / Thunder & Lightning 2"
blockcarb         "Block Carnival / Thunder & Lightning 2 (bootleg)"
blocken           "Blocken (Japan)"
blockgal          "Block Gal (MC-8123B, 317-0029)"
blockgalb         "Block Gal (bootleg)"
blockhl           "Block Hole"
blockj            "Block Block (Japan 910910)"
blockout          "Block Out (set 1)"
blockout2         "Block Out (set 2)"
blockoutj         "Block Out (Japan)"
blockr1           "Block Block (World 911106 Joystick)"
blockr2           "Block Block (World 910910)"
bloodbro          "Blood Bros. (World?)"
bloodbroa         "Blood Bros. (set 2)"
bloodbrob         "Blood Bros. (set 3)"
bloodstm          "Blood Storm (v2.22)"
bloodstm10        "Blood Storm (v1.04)"
bloodstm11        "Blood Storm (v1.10)"
bloodstm21        "Blood Storm (v2.10)"
bloodstm22        "Blood Storm (v2.20)"
bloodwar          "Blood Warrior"
bloxeed           "Bloxeed (Japan) (FD1094 317-0139)"
bloxeedc          "Bloxeed (World, C System)"
bloxeedd          "Bloxeed (Japan) (bootleg of FD1094 317-0139 set)"
bloxeedu          "Bloxeed (US, C System, Rev A)"
blstroid          "Blasteroids (rev 4)"
blstroid2         "Blasteroids (rev 2)"
blstroid3         "Blasteroids (rev 3)"
blstroidg         "Blasteroids (German, rev 2)"
blstroidh         "Blasteroids (with heads)"
blswhstl          "Bells & Whistles (World, version L)"
